1 0.600819
2 0.212362
3 0.085238
4 0.040474
5 0.018882
6 0.011149
7 0.006209
8 0.003556
9 0.002258
10 0.001722
11 0.002286
12 0.001355
13 0.000423
14 0.001298
15 0.001693
16 0.000706
17 0.000734
18 0.000226
19 0.000198
20 0.001016
21 0.000169
22 0.000141
24 0.000141
25 0.000056
27 0.001468
28 0.000028
29 0.000141
30 0.000085
31 0.000903
32 0.000028
34 0.000028
36 0.000056
37 0.000028
38 0.000028
40 0.000028
41 0.000028
44 0.000988
45 0.000198
46 0.000056
48 0.000028
97 0.002032
98 0.000254
99 0.000198
100 0.000028
101 0.000028
104 0.000028
106 0.000028
109 0.000028
113 0.000056
119 0.000028
128 0.000028
408 0.000028
