1 0.676595
2 0.167445
3 0.063288
4 0.030848
5 0.017367
6 0.010424
7 0.006773
8 0.004862
9 0.003694
10 0.002909
11 0.002123
12 0.001847
13 0.001444
14 0.000807
15 0.000828
16 0.000786
17 0.000594
18 0.000573
19 0.000467
20 0.000510
21 0.000446
22 0.000382
23 0.000340
24 0.000318
25 0.000191
26 0.000191
27 0.000297
28 0.000276
29 0.000191
30 0.000106
31 0.000127
32 0.000149
33 0.000064
34 0.000149
35 0.000064
36 0.000085
37 0.000106
38 0.000064
39 0.000085
40 0.000149
41 0.000170
42 0.000085
43 0.000064
44 0.000042
45 0.000106
46 0.000042
47 0.000042
48 0.000064
49 0.000021
50 0.000085
51 0.000042
52 0.000021
53 0.000042
56 0.000085
58 0.000021
59 0.000021
60 0.000042
61 0.000042
62 0.000021
63 0.000042
64 0.000042
66 0.000021
68 0.000021
69 0.000021
70 0.000042
71 0.000064
73 0.000042
74 0.000064
76 0.000021
77 0.000021
78 0.000021
79 0.000021
80 0.000042
82 0.000021
85 0.000021
86 0.000021
87 0.000021
92 0.000021
93 0.000021
98 0.000021
100 0.000021
106 0.000042
107 0.000021
114 0.000021
116 0.000021
119 0.000021
124 0.000021
137 0.000021
139 0.000021
141 0.000021
213 0.000021
216 0.000021
220 0.000021
349 0.000021
410 0.000021
